"","reviewid","title","artist","url","score","best_new_music","author","author_type","pub_date","pub_weekday","pub_day","pub_month","pub_year","year","review_release_years"
"18",193,"feels","animal collective","http://pitchfork.com/reviews/albums/193-feels/",9,1,"mark richardson","executive editor",2005-10-17,0,17,10,2005,2005,0
"19",191,"sung tongs","animal collective","http://pitchfork.com/reviews/albums/191-sung-tongs/",8.9,1,"dominique leone","contributor",2004-05-02,6,2,5,2004,2004,0
"20",21527,"varmints","anna meredith","http://pitchfork.com/reviews/albums/21527-varmints/",8.4,1,"laura snapes","contributor",2016-03-07,0,7,3,2016,2016,0
"21",456,"anniemal","annie","http://pitchfork.com/reviews/albums/456-anniemal/",8.8,1,"scott plagenhoef","contributor",2004-11-07,6,7,11,2004,2004,0
"22",21819,"hopelessness","anohni","http://pitchfork.com/reviews/albums/21819-hopelessness/",9,1,"jenn pelly","associate reviews editor",2016-05-05,3,5,5,2016,2016,0
"23",12596,"the crying light","antony and the johnsons","http://pitchfork.com/reviews/albums/12596-the-crying-light/",8.6,1,"marc masters","contributor",2009-01-19,0,19,1,2009,2009,0
"24",467,"i am a bird now","antony and the johnsons","http://pitchfork.com/reviews/albums/467-i-am-a-bird-now/",8.6,1,"brandon stosuy","contributor",2005-02-10,3,10,2,2005,2005,0
"25",20156,"computer controlled acoustic instruments pt2 ep","aphex twin","http://pitchfork.com/reviews/albums/20156-computer-controlled-acoustic-instruments-pt2-ep/",8.3,1,"mark richardson","executive editor",2015-01-27,1,27,1,2015,2015,0
"26",19755,"syro","aphex twin","http://pitchfork.com/reviews/albums/19755-aphex-twin-syro/",8.7,1,"mark richardson","executive editor",2014-09-22,0,22,9,2014,2014,0
"27",15566,"electronic dream","araabmuzik","http://pitchfork.com/reviews/albums/15566-electronic-dream/",8.2,1,"tom breihan","contributor",2011-07-06,2,6,7,2011,2011,0
"28",21231,"mutant","arca","http://pitchfork.com/reviews/albums/21231-arca-mutant/",8.4,1,"mark richardson","executive editor",2015-11-18,2,18,11,2015,2015,0
"29",19836,"xen","arca","http://pitchfork.com/reviews/albums/19836-arca-xen/",8.4,1,"philip sherburne","contributing editor",2014-11-03,0,3,11,2014,2014,0
"30",18667,"reflektor","arcade fire","http://pitchfork.com/reviews/albums/18667-arcade-fire-reflektor/",9.2,1,"lindsay zoladz","contributor",2013-10-28,0,28,10,2013,2013,0
"31",14516,"the suburbs","arcade fire","http://pitchfork.com/reviews/albums/14516-the-suburbs/",8.6,1,"ian cohen","contributor",2010-08-02,0,2,8,2010,2010,0
"32",9946,"neon bible","arcade fire","http://pitchfork.com/reviews/albums/9946-neon-bible/",8.4,1,"stephen m. deusner","contributor",2007-03-05,0,5,3,2007,2007,0
"33",452,"funeral","arcade fire","http://pitchfork.com/reviews/albums/452-funeral/",9.7,1,"david moore","contributor",2004-09-12,6,12,9,2004,2004,0
"34",441,"in case we die","architecture in helsinki","http://pitchfork.com/reviews/albums/441-in-case-we-die/",8.8,1,"rob mitchum","contributor",2005-05-03,1,3,5,2005,2005,0
"35",21326,"a new place 2 drown","archy marshall","http://pitchfork.com/reviews/albums/21326-a-new-place-2-drown/",8.6,1,"jayson greene","senior editor",2015-12-11,4,11,12,2015,2015,0
"36",19936,"pom pom","ariel pink","http://pitchfork.com/reviews/albums/19936-ariel-pink-pom-pom/",8.8,1,"jeff weiss","contributor",2014-11-18,1,18,11,2014,2014,0
"37",14324,"before today","ariel pink","http://pitchfork.com/reviews/albums/14324-before-today/",9,1,"mark richardson","executive editor",2010-06-07,0,7,6,2010,2010,0
"38",475,"bang bang rock & roll","art brut","http://pitchfork.com/reviews/albums/475-bang-bang-rock-roll/",8.9,1,"rob mitchum","contributor",2005-06-02,3,2,6,2005,2005,0
"39",15998,"parallax","atlas sound","http://pitchfork.com/reviews/albums/15998-parallax/",8.7,1,"nick neyland","contributor",2011-11-07,0,7,11,2011,2011,0
"40",13619,"logos","atlas sound","http://pitchfork.com/reviews/albums/13619-logos/",8.2,1,"mark richardson","executive editor",2009-10-22,3,22,10,2009,2009,0
"41",11160,"let the blind lead those who can see but cannot feel","atlas sound","http://pitchfork.com/reviews/albums/11160-let-the-blind-lead-those-who-can-see-but-cannot-feel/",8.6,1,"marc hogan","senior staff writer",2008-02-19,1,19,2,2008,2008,0
"42",17645,"anxiety","autre ne veut","http://pitchfork.com/reviews/albums/17645-autre-ne-veut-anxiety/",8.5,1,"ian cohen","contributor",2013-02-26,1,26,2,2013,2013,0
"43",1200,"everything all the time","band of horses","http://pitchfork.com/reviews/albums/1200-everything-all-the-time/",8.8,1,"stephen m. deusner","contributor",2006-03-19,6,19,3,2006,2006,0
"44",21179,"purple","baroness","http://pitchfork.com/reviews/albums/21179-purple/",8.5,1,"brandon stosuy","contributor",2015-12-10,3,10,12,2015,2015,0
"45",16771,"yellow & green","baroness","http://pitchfork.com/reviews/albums/16771-yellow-green/",8.5,1,"brandon stosuy","contributor",2012-07-18,2,18,7,2012,2012,0
"46",573,"kish kash","basement jaxx","http://pitchfork.com/reviews/albums/573-kish-kash/",9.1,1,"scott plagenhoef","contributor",2003-10-21,1,21,10,2003,2003,0
"47",17174,"the haunted man","bat for lashes","http://pitchfork.com/reviews/albums/17174-the-haunted-man/",8.4,1,"marc hogan","senior staff writer",2012-10-22,0,22,10,2012,2012,0
"48",12910,"two suns","bat for lashes","http://pitchfork.com/reviews/albums/12910-two-suns/",8.5,1,"mark pytlik","contributor",2009-04-10,4,10,4,2009,2009,0
"49",18065,"obsidian","baths","http://pitchfork.com/reviews/albums/18065-baths-obsidian/",8.6,1,"ian cohen","contributor",2013-05-28,1,28,5,2013,2013,0
"50",10225,"mirrored","battles","http://pitchfork.com/reviews/albums/10225-mirrored/",9.1,1,"jess harvell","contributor",2007-05-15,1,15,5,2007,2007,0
"51",20691,"depression cherry","beach house","http://pitchfork.com/reviews/albums/20691-depression-cherry/",8.4,1,"jayson greene","senior editor",2015-08-18,1,18,8,2015,2015,0
"52",16604,"bloom","beach house","http://pitchfork.com/reviews/albums/16604-beach-house-bloom/",9.1,1,"lindsay zoladz","contributor",2012-05-14,0,14,5,2012,2012,0
"53",13872,"teen dream","beach house","http://pitchfork.com/reviews/albums/13872-teen-dream/",9,1,"mark richardson","executive editor",2010-01-26,1,26,1,2010,2010,0
"54",11208,"devotion","beach house","http://pitchfork.com/reviews/albums/11208-devotion/",8.5,1,"brian howe","contributor",2008-02-26,1,26,2,2008,2008,0
"55",13618,"beast rest forth mouth","bear in heaven","http://pitchfork.com/reviews/albums/13618-beast-rest-forth-mouth/",8.4,1,"eric harvey","contributor",2009-11-09,0,9,11,2009,2009,0
"56",639,"the life pursuit","belle and sebastian","http://pitchfork.com/reviews/albums/639-the-life-pursuit/",8.5,1,"marc hogan","senior staff writer",2006-02-05,6,5,2,2006,2006,0
"57",19302,"a u r o r a","ben frost","http://pitchfork.com/reviews/albums/19302-ben-frost-a-u-r-o-r-a/",8.5,1,"brandon stosuy","contributor",2014-05-30,4,30,5,2014,2014,0
"58",14472,"crazy for you","best coast","http://pitchfork.com/reviews/albums/14472-crazy-for-you/",8.4,1,"larry fitzmaurice","contributor",2010-07-27,1,27,7,2010,2010,0
"59",21867,"lemonade","beyonc","http://pitchfork.com/reviews/albums/21867-lemonade/",8.5,1,"jillian mapes","senior editor",2016-04-26,1,26,4,2016,2016,0
"60",18821,"beyonc","beyonc","http://pitchfork.com/reviews/albums/18821-beyonce-beyonce/",8.8,1,"carrie battan","contributor",2014-01-06,0,6,1,2014,2013,1
"61",13125,"ambivalence avenue","bibio","http://pitchfork.com/reviews/albums/13125-ambivalence-avenue/",8.3,1,"brian howe","contributor",2009-06-26,4,26,6,2009,2009,0
"62",14424,"sir lucious left foot: the son of chico dusty","big boi","http://pitchfork.com/reviews/albums/14424-sir-lucious-left-foot-the-son-of-chico-dusty/",9.2,1,"tom breihan","contributor",2010-07-06,1,6,7,2010,2010,0
"63",18491,"dream river","bill callahan","http://pitchfork.com/reviews/albums/18491-bill-callahan-dream-river/",8.5,1,"lindsay zoladz","contributor",2013-09-17,1,17,9,2013,2013,0
"64",12929,"sometimes i wish we were an eagle","bill callahan","http://pitchfork.com/reviews/albums/12929-sometimes-i-wish-we-were-an-eagle/",8.1,1,"brian howe","contributor",2009-04-17,4,17,4,2009,2009,0
"65",20181,"vulnicura","björk","http://pitchfork.com/reviews/albums/20181-vulnicura/",8.6,1,"katherine st. asaph","contributor",2015-01-23,4,23,1,2015,2015,0
"66",737,"medulla","björk","http://pitchfork.com/reviews/albums/737-medulla/",8.4,1,"dominique leone","contributor",2004-08-30,0,30,8,2004,2004,0
"67",10626,"good bad not evil","black lips","http://pitchfork.com/reviews/albums/10626-good-bad-not-evil/",8.3,1,"jason crock",NA,2007-09-06,3,6,9,2007,2007,0
"68",1146,"black mountain","black mountain","http://pitchfork.com/reviews/albums/1146-black-mountain/",8.3,1,"sam ubl",NA,2005-01-16,6,16,1,2005,2005,0
"69",10292,"wild mountain nation","blitzen trapper","http://pitchfork.com/reviews/albums/10292-wild-mountain-nation/",8.5,1,"jason crock",NA,2007-06-14,3,14,6,2007,2007,0
"70",1130,"silent alarm","bloc party","http://pitchfork.com/reviews/albums/1130-silent-alarm/",8.9,1,"nitsuh abebe","contributor",2005-02-14,0,14,2,2005,2005,0
"71",22052,"freetown sound","blood orange","http://pitchfork.com/reviews/albums/22052-blood-orange-freetown-sound/",8.8,1,"marcus j. moore","contributor",2016-06-30,3,30,6,2016,2016,0
"72",18736,"cupid deluxe","blood orange","http://pitchfork.com/reviews/albums/18736-blood-orange-cupid-deluxe/",8.5,1,"ryan dombal","senior editor",2013-11-13,2,13,11,2013,2013,0
"73",18104,"tomorrow's harvest","boards of canada","http://pitchfork.com/reviews/albums/18104-boards-of-canada-tomorrows-harvest/",8.3,1,"mark richardson","executive editor",2013-06-10,0,10,6,2013,2013,0
"74",22420,"22, a million","bon iver","http://pitchfork.com/reviews/albums/22420-22-a-million/",9,1,"amanda petrusich","contributor",2016-09-30,4,30,9,2016,2016,0
"75",15551,"bon iver, bon iver","bon iver","http://pitchfork.com/reviews/albums/15551-bon-iver/",9.5,1,"mark richardson","executive editor",2011-06-20,0,20,6,2011,2011,0
"76",703,"superwolf","bonnie ""prince"" billy","http://pitchfork.com/reviews/albums/703-superwolf/",8.4,1,"amanda petrusich","contributor",2005-01-31,0,31,1,2005,2005,0
"77",11549,"lie down in the light","bonnie prince billy","http://pitchfork.com/reviews/albums/11549-lie-down-in-the-light/",8.7,1,"stephen m. deusner","contributor",2008-05-27,1,27,5,2008,2008,0
"78",1185,"pink","boris","http://pitchfork.com/reviews/albums/1185-pink/",8.7,1,"brandon stosuy","contributor",2006-01-09,0,9,1,2006,2005,1
"79",19539,"high life","brian eno, karl hyde","http://pitchfork.com/reviews/albums/19539-brian-eno-karl-hyde-high-life/",8.5,1,"mark richardson","executive editor",2014-07-02,2,2,7,2014,2014,0
"80",8781,"smile","brian wilson","http://pitchfork.com/reviews/albums/8781-smile/",9,1,"dominique leone","contributor",2004-09-28,1,28,9,2004,2004,0
"81",14200,"forgiveness rock record","broken social scene","http://pitchfork.com/reviews/albums/14200-forgiveness-rock-record/",8.3,1,"ryan dombal","senior editor",2010-05-03,0,3,5,2010,2010,0
"82",955,"broken social scene","broken social scene","http://pitchfork.com/reviews/albums/955-broken-social-scene/",8.4,1,"ryan dombal","senior editor",2005-10-03,0,3,10,2005,2005,0
"83",952,"you forgot it in people","broken social scene","http://pitchfork.com/reviews/albums/952-you-forgot-it-in-people/",9.2,1,"ryan schreiber","editor-in-chief",2003-02-02,6,2,2,2003,2002,1
"84",18820,"rival dealer ep","burial","http://pitchfork.com/reviews/albums/18820-burial-rival-dealer-ep/",9,1,"larry fitzmaurice","contributor",2013-12-13,4,13,12,2013,2013,0
"85",17498,"truant / rough sleeper","burial","http://pitchfork.com/reviews/albums/17498-truant-rough-sleeper/",8.4,1,"mark richardson","executive editor",2013-01-04,4,4,1,2013,2012,1
"86",16292,"kindred ep","burial","http://pitchfork.com/reviews/albums/16292-kindred/",8.7,1,"andrew ryce","contributor",2012-02-15,2,15,2,2012,2012,0
"87",10877,"untrue","burial","http://pitchfork.com/reviews/albums/10877-untrue/",8.4,1,"philip sherburne","contributing editor",2007-11-13,1,13,11,2007,2007,0
"88",9479,"roots and crowns","califone","http://pitchfork.com/reviews/albums/9479-roots-and-crowns/",8.7,1,"amanda petrusich","contributor",2006-10-09,0,9,10,2006,2006,0
"89",12942,"my maudlin career","camera obscura","http://pitchfork.com/reviews/albums/12942-my-maudlin-career/",8.3,1,"brian howe","contributor",2009-04-21,1,21,4,2009,2009,0
"90",21673,"teens of denial","car seat headrest","http://pitchfork.com/reviews/albums/21673-teens-of-denial/",8.5,1,"jeremy gordon","contributor",2016-05-20,4,20,5,2016,2016,0
"91",19762,"our love","caribou","http://pitchfork.com/reviews/albums/19762-caribou-our-love/",8.6,1,"jamieson cox","contributor",2014-10-07,1,7,10,2014,2014,0
"92",14157,"swim","caribou","http://pitchfork.com/reviews/albums/14157-swim/",8.4,1,"larry fitzmaurice","contributor",2010-04-20,1,20,4,2010,2010,0
"93",10559,"andorra","caribou","http://pitchfork.com/reviews/albums/10559-andorra/",8.3,1,"mark richardson","executive editor",2007-08-23,3,23,8,2007,2007,0
"94",1805,"the milk of human kindness","caribou","http://pitchfork.com/reviews/albums/1805-the-milk-of-human-kindness/",8.5,1,"mark richardson","executive editor",2005-04-20,2,20,4,2005,2005,0
"95",15343,"wit's end","cass mccombs","http://pitchfork.com/reviews/albums/15343-wits-end/",8.4,1,"ryan dombal","senior editor",2011-04-22,4,22,4,2011,2011,0
"96",13180,"catacombs","cass mccombs","http://pitchfork.com/reviews/albums/13180-catacombs/",8.2,1,"david bevan","contributor",2009-07-10,4,10,7,2009,2009,0
"97",1774,"cathedral","castanets","http://pitchfork.com/reviews/albums/1774-cathedral/",8.5,1,"amanda petrusich","contributor",2004-08-31,1,31,8,2004,2004,0
"98",1755,"cee-lo green is the soul machine","cee-lo green","http://pitchfork.com/reviews/albums/1755-cee-lo-green-is-the-soul-machine/",8.3,1,"rollie pemberton",NA,2004-03-04,3,4,3,2004,2004,0
"99",14407,"white magic","ceo","http://pitchfork.com/reviews/albums/14407-white-magic/",8.5,1,"joe colly","contributor",2010-06-30,2,30,6,2010,2010,0
"100",21909,"coloring book","chance the rapper","http://pitchfork.com/reviews/albums/21909-coloring-book/",9.1,1,"kris ex","contributor",2016-05-17,1,17,5,2016,2016,0
"101",18105,"acid rap","chance the rapper","http://pitchfork.com/reviews/albums/18105-chance-the-rapper-acid-rap/",8.4,1,"jeff weiss","contributor",2013-05-07,1,7,5,2013,2013,0
"102",17880,"true romance","charli xcx","http://pitchfork.com/reviews/albums/17880-charli-xcx-true-romance/",8.3,1,"marc hogan","senior staff writer",2013-04-25,3,25,4,2013,2013,0
"103",13878,"irm","charlotte gainsbourg","http://pitchfork.com/reviews/albums/13878-irm/",8.4,1,"ryan dombal","senior editor",2010-01-28,3,28,1,2010,2009,1
"104",16452,"kill for love","chromatics","http://pitchfork.com/reviews/albums/16452-kill-for-love/",8.7,1,"marc hogan","senior staff writer",2012-04-03,1,3,4,2012,2012,0
"105",10763,"night drive","chromatics","http://pitchfork.com/reviews/albums/10763-night-drive/",8.3,1,"jess harvell","contributor",2007-10-11,3,11,10,2007,2007,0
"106",18523,"the bones of what you believe","chvrches","http://pitchfork.com/reviews/albums/18523-chvrches-the-bones-of-what-you-believe/",8.5,1,"larry fitzmaurice","contributor",2013-09-25,2,25,9,2013,2013,0
"107",1811,"clap your hands say yeah","clap your hands say yeah","http://pitchfork.com/reviews/albums/1811-clap-your-hands-say-yeah/",9,1,"brian howe","contributor",2005-06-21,1,21,6,2005,2005,0
"108",19905,"clark","clark","http://pitchfork.com/reviews/albums/19905-clark-clark/",8.3,1,"ryan dombal","senior editor",2014-11-07,4,7,11,2014,2014,0
"109",1495,"cedars","clearlake","http://pitchfork.com/reviews/albums/1495-cedars/",9.1,1,"brent dicrescenzo","contributor",2003-06-22,6,22,6,2003,2003,0
"110",9658,"hell hath no fury","clipse","http://pitchfork.com/reviews/albums/9658-hell-hath-no-fury/",9.1,1,"sean fennessey","contributor",2006-11-27,0,27,11,2006,2006,0
"111",19075,"here and nowhere else","cloud nothings","http://pitchfork.com/reviews/albums/19075-cloud-nothings-here-and-nowhere-else/",8.7,1,"ian cohen","contributor",2014-03-31,0,31,3,2014,2014,0
"112",16158,"attack on memory","cloud nothings","http://pitchfork.com/reviews/albums/16158-attack-on-memory/",8.6,1,"ian cohen","contributor",2012-01-23,0,23,1,2012,2012,0
"113",1563,"blue cathedral","comets on fire","http://pitchfork.com/reviews/albums/1563-blue-cathedral/",8.5,1,"brandon stosuy","contributor",2004-07-29,3,29,7,2004,2004,0
"114",1566,"be","common","http://pitchfork.com/reviews/albums/1566-be/",8.6,1,"ryan dombal","senior editor",2005-05-31,1,31,5,2005,2005,0
"115",17132,"all we love we leave behind","converge","http://pitchfork.com/reviews/albums/17132-all-we-love-we-leave-behind/",8.6,1,"brandon stosuy","contributor",2012-10-12,4,12,10,2012,2012,0
"116",20268,"sometimes i sit and think, and sometimes i just sit","courtney barnett","http://pitchfork.com/reviews/albums/20268-sometimes-i-sit-and-think-and-sometimes-i-just-sit/",8.6,1,"mike powell","contributor",2015-03-23,0,23,3,2015,2015,0
"117",11580,"ep","crystal antlers","http://pitchfork.com/reviews/albums/11580-ep/",8.5,1,"ian cohen",NA,2008-06-11,2,11,6,2008,2008,0
"118",14190,"crystal castles","crystal castles","http://pitchfork.com/reviews/albums/14190-crystal-castles/",8.5,1,"ian cohen","contributor",2010-04-29,3,29,4,2010,2010,0
"119",15432,"cults","cults","http://pitchfork.com/reviews/albums/15432-cults/",8.5,1,"joe tangari","contributor",2011-06-06,0,6,6,2011,2011,0
"120",14474,"pilot talk","curren$y","http://pitchfork.com/reviews/albums/14474-pilot-talk/",8.4,1,"tom breihan","contributor",2010-07-30,4,30,7,2010,2010,0
"121",15055,"zonoscope","cut copy","http://pitchfork.com/reviews/albums/15055-zonoscope/",8.6,1,"tom breihan","contributor",2011-02-07,0,7,2,2011,2011,0
"122",11407,"in ghost colours","cut copy","http://pitchfork.com/reviews/albums/11407-in-ghost-colours/",8.8,1,"mark pytlik","contributor",2008-04-14,0,14,4,2008,2008,0
"123",12826,"why there are mountains","cymbals eat guitars","http://pitchfork.com/reviews/albums/12826-why-there-are-mountains/",8.3,1,"ian cohen","contributor",2009-03-16,0,16,3,2009,2009,0
"124",18028,"random access memories","daft punk","http://pitchfork.com/reviews/albums/18028-daft-punk-random-access-memories/",8.8,1,"mark richardson","executive editor",2013-05-20,0,20,5,2013,2013,0
"125",10925,"alive 2007","daft punk","http://pitchfork.com/reviews/albums/10925-alive-2007/",8.5,1,"ryan dombal","senior editor",2007-11-20,1,20,11,2007,2007,0
"126",12833,"bromst","dan deacon","http://pitchfork.com/reviews/albums/12833-bromst/",8.5,1,"nitsuh abebe","contributor",2009-03-18,2,18,3,2009,2009,0
"127",10207,"spiderman of the rings","dan deacon","http://pitchfork.com/reviews/albums/10207-spiderman-of-the-rings/",8.7,1,"jess harvell","contributor",2007-05-11,4,11,5,2007,2007,0
"128",20078,"black messiah","dangelo, the vanguard","http://pitchfork.com/reviews/albums/20078-black-messiah/",9.4,1,"craig jenkins","contributor",2014-12-19,4,19,12,2014,2014,0
"129",22468,"atrocity exhibition","danny brown","http://pitchfork.com/reviews/albums/22468-atrocity-exhibition/",8.5,1,"matthew ramirez","contributor",2016-10-03,0,3,10,2016,2016,0
"130",18565,"old","danny brown","http://pitchfork.com/reviews/albums/18565-danny-brown-old/",8.7,1,"jayson greene","senior editor",2013-10-03,3,3,10,2013,2013,0
"131",18586,"psychic","darkside","http://pitchfork.com/reviews/albums/18586-darkside-psychic/",9,1,"ian cohen","contributor",2013-10-07,0,7,10,2013,2013,0
"132",14662,"sit down, man","das racist","http://pitchfork.com/reviews/albums/14662-sit-down-man/",8.7,1,"ian cohen","contributor",2010-09-23,3,23,9,2010,2010,0
"133",21332,"blackstar","david bowie","http://pitchfork.com/reviews/albums/21332-blackstar/",8.5,1,"ryan dombal","senior editor",2016-01-07,3,7,1,2016,2016,0
"134",21022,"new bermuda","deafheaven","http://pitchfork.com/reviews/albums/21022-new-bermuda/",9,1,"jayson greene","senior editor",2015-10-01,3,1,10,2015,2015,0
"135",18060,"sunbather","deafheaven","http://pitchfork.com/reviews/albums/18060-deafheaven-sunbather/",8.9,1,"brandon stosuy","contributor",2013-06-11,1,11,6,2013,2013,0
"136",2587,"you're a woman, i'm a machine","death from above 1979","http://pitchfork.com/reviews/albums/2587-youre-a-woman-im-a-machine/",8.3,1,"nick sylvester","contributor",2004-10-28,3,28,10,2004,2004,0
"137",18779,"government plates","death grips","http://pitchfork.com/reviews/albums/18779-death-grips-government-plates/",8.4,1,"ian cohen","contributor",2013-11-19,1,19,11,2013,2013,0
"138",16512,"the money store","death grips","http://pitchfork.com/reviews/albums/16512-death-grips-the-money-store/",8.7,1,"jayson greene","senior editor",2012-04-24,1,24,4,2012,2012,0
"139",9810,"friend opportunity","deerhoof","http://pitchfork.com/reviews/albums/9810-friend-opportunity/",8.9,1,"chris dahlen",NA,2007-01-23,1,23,1,2007,2007,0
"140",2256,"the runners four","deerhoof","http://pitchfork.com/reviews/albums/2256-the-runners-four/",9,1,"nick sylvester","contributor",2005-10-09,6,9,10,2005,2005,0
"141",2252,"apple o","deerhoof","http://pitchfork.com/reviews/albums/2252-apple-o/",8.3,1,"eric carr","contributor",2003-03-27,3,27,3,2003,2003,0
"142",21039,"fading frontier","deerhunter","http://pitchfork.com/reviews/albums/21039-fading-frontier/",8.4,1,"ian cohen","contributor",2015-10-12,0,12,10,2015,2015,0
"143",17966,"monomania","deerhunter","http://pitchfork.com/reviews/albums/17966-deerhunter-monomania/",8.3,1,"ian cohen","contributor",2013-05-03,4,3,5,2013,2013,0
"144",14681,"halcyon digest","deerhunter","http://pitchfork.com/reviews/albums/14681-halcyon-digest/",9.2,1,"marc hogan","senior staff writer",2010-09-27,0,27,9,2010,2010,0
"145",12360,"microcastle / weird era cont.","deerhunter","http://pitchfork.com/reviews/albums/12360-microcastle-weird-era-cont/",9.2,1,"marc hogan","senior staff writer",2008-10-27,0,27,10,2008,2008,0
"146",10082,"fluorescent grey ep","deerhunter","http://pitchfork.com/reviews/albums/10082-fluorescent-grey-ep/",8.8,1,"marc hogan","senior staff writer",2007-04-16,0,16,4,2007,2007,0
"147",9824,"cryptograms","deerhunter","http://pitchfork.com/reviews/albums/9824-cryptograms/",8.9,1,"marc hogan","senior staff writer",2007-01-30,1,30,1,2007,2007,0
"148",14147,"subiza","delorean","http://pitchfork.com/reviews/albums/14147-subiza/",8.4,1,"andrew gaerig","contributor",2010-04-22,3,22,4,2010,2010,0
"149",13339,"ayrton senna ep","delorean","http://pitchfork.com/reviews/albums/13339-ayrton-senna-ep/",8.4,1,"marc hogan","senior staff writer",2009-07-28,1,28,7,2009,2009,0
"150",12275,"in ear park","department of eagles","http://pitchfork.com/reviews/albums/12275-in-ear-park/",8.3,1,"amanda petrusich","contributor",2008-10-07,1,7,10,2008,2008,0
"151",15034,"kaputt","destroyer","http://pitchfork.com/reviews/albums/15034-kaputt/",8.8,1,"mark richardson","executive editor",2011-01-24,0,24,1,2011,2011,0
"152",8970,"destroyer's rubies","destroyer","http://pitchfork.com/reviews/albums/8970-destroyers-rubies/",8.5,1,"matt lemay","contributor",2006-02-20,0,20,2,2006,2006,0
"153",553,"cripple crow","devendra banhart","http://pitchfork.com/reviews/albums/553-cripple-crow/",8.4,1,"brandon stosuy","contributor",2005-09-12,0,12,9,2005,2005,0
"154",548,"rejoicing in the hands","devendra banhart","http://pitchfork.com/reviews/albums/548-rejoicing-in-the-hands/",8.4,1,"dominique leone","contributor",2004-03-16,1,16,3,2004,2004,0
"155",16749,"oshin","diiv","http://pitchfork.com/reviews/albums/16749-oshin/",8.3,1,"ian cohen","contributor",2012-06-26,1,26,6,2012,2012,0
"156",13109,"farm","dinosaur jr.","http://pitchfork.com/reviews/albums/13109-farm/",8.5,1,"marc masters","contributor",2009-06-22,0,22,6,2009,2009,0
"157",18076,"drifters / love is the devil","dirty beaches","http://pitchfork.com/reviews/albums/18076-dirty-beaches-drifters-love-is-the-devil/",8.4,1,"larry fitzmaurice","contributor",2013-05-23,3,23,5,2013,2013,0
