"","reviewid","year"
"245",22530,2016
"246",22507,2016
"247",22521,2016
"248",22512,2016
"249",22508,2016
"250",22509,2016
"251",22463,2016
"252",22513,2016
"253",22412,2016
"254",22504,2016
"255",22389,2016
"256",22499,2016
"257",22495,2016
"258",22461,2016
"259",22494,2016
"260",22440,1979
"261",22440,2016
"262",22496,2016
"263",22497,2016
"264",22458,2016
"265",22308,1974
"266",22390,2016
"267",22511,2016
"268",22493,2016
"269",22339,2016
"270",22490,2016
"271",22404,1969
"272",22404,2016
"273",22372,2016
"274",22411,2016
"275",22348,1978
"276",22348,2016
"277",22391,2016
"278",22410,2016
"279",22492,2016
"280",22488,2016
"281",22477,2016
"282",22489,2016
"283",22438,2016
"284",22323,2016
"285",22307,2016
"286",22486,2016
"287",22478,2016
"288",22474,2016
"289",22450,2016
"290",22449,2016
"291",22460,2016
"292",22439,2016
"293",22253,1989
"294",22318,1997
"295",22318,2016
"296",22445,2016
"297",22484,2016
"298",22466,2016
"299",22429,2016
"300",22451,2016
"301",22471,2016
"302",22470,2016
"303",22437,2016
"304",22475,2016
"305",22476,2016
"306",22472,2016
"307",22482,2016
"308",22376,2016
"309",22459,2016
"310",22375,1970
"311",22375,2016
"312",22314,2016
"313",22362,2002
"314",22362,2016
"315",22435,2016
"316",22373,2016
"317",22447,2016
"318",22468,2016
"319",22446,2016
"320",22299,2016
"321",22434,2016
"322",22292,1995
"323",22368,2016
"324",22430,2016
"325",22346,2016
"326",22388,2016
"327",22420,2016
"328",22298,1996
"329",22298,2016
"330",22304,2016
"331",22425,2016
"332",22444,2016
"333",22426,2016
"334",22424,2016
"335",22315,2016
"336",22431,2016
"337",22443,2016
"338",22432,2016
"339",22427,2016
"340",22423,2016
"341",22387,2016
"342",22146,2016
"343",22386,2016
"344",22416,2016
"345",22134,1982
"346",22134,2016
"347",22422,2016
"348",22370,2016
"349",22400,2016
"350",22045,2000
"351",22419,2016
"352",22428,2016
"353",22406,2016
"354",22369,2016
"355",22313,2016
"356",22405,2016
"357",22302,2016
"358",22399,2016
"359",22409,2016
"360",22421,2016
"361",22385,2016
"362",22384,2016
"363",22418,2016
"364",22326,2016
"365",22366,2016
"366",22367,2016
"367",22402,1997
"368",22402,2016
"369",22382,2016
"370",22383,2016
"371",22408,2016
"372",22407,2016
"373",22312,2016
"374",22381,2016
"375",22357,2016
"376",22061,1975
"377",22293,2016
"378",22310,2016
"379",22398,2016
"380",22403,2016
"381",22397,2016
"382",22359,2016
"383",22365,2016
"384",22358,2016
"385",22300,2016
"386",22335,2016
"387",22379,2016
"388",22360,2016
"389",22336,2016
"390",22283,1984
"391",22283,2016
"392",22303,2016
"393",22306,2016
"394",22396,2016
"395",22343,1973
"396",22343,2016
"397",22305,2016
"398",22238,2016
"399",22350,2016
"400",22356,2016
"401",22112,2016
"402",22309,2016
"403",22345,2016
"404",22255,1968
"405",22327,1990
"406",22327,2016
"407",22288,2016
"408",22364,2016
"409",22380,2016
"410",22355,2016
"411",22289,2016
"412",22290,2016
"413",22330,2016
"414",22361,2016
"415",22284,2016
"416",22354,2016
"417",22351,2016
"418",22363,2016
"419",22281,2016
"420",22342,1971
"421",22342,2016
"422",22352,2016
"423",22322,2016
"424",22287,2016
"425",22344,2016
"426",22286,2016
"427",22212,1969
"428",22353,2016
"429",22349,2016
"430",22337,2016
"431",21989,2016
"432",22282,2016
"433",22332,2016
"434",22333,2016
"435",22277,2016
"436",22329,2016
"437",22338,2002
"438",22338,2016
"439",22341,2016
"440",22271,1975
"441",22271,2016
"442",22319,2016
"443",22331,2016
"444",22325,2016
"445",22320,2016
"446",22296,2016
"447",22243,2016
"448",22328,2016
"449",22279,2016
"450",22256,2016
"451",22340,2016
"452",22251,2016
"453",22257,2016
"454",22132,1999
"455",22254,2016
"456",22252,2016
"457",22260,2016
"458",22321,2016
"459",22280,2016
"460",22231,2016
"461",22311,2016
"462",22295,2016
"463",22285,2016
"464",22249,2016
"465",22258,2016
"466",22211,2016
"467",22223,2016
"468",22276,2016
"469",22237,2016
"470",22273,2016
"471",22274,2016
"472",22241,2016
"473",22233,2016
"474",22248,2016
"475",22236,2016
"476",22242,2016
"477",22239,2016
"478",22174,1976
"479",22267,2016
"480",22270,2016
"481",22230,2016
"482",22169,2016
"483",22246,2016
"484",22272,2016
"485",22227,2016
"486",22228,1994
"487",22228,2016
"488",22245,2016
"489",22210,2016
"490",22264,2016
"491",22263,2016
"492",22265,2016
"493",22261,2016
"494",22234,2016
"495",22226,2016
"496",22262,2016
"497",22193,2016
"498",22244,2016
"499",22217,2016
"500",22232,2016
"501",22020,2016
"502",22215,2016
"503",22225,2016
"504",22220,2016
"505",22131,1992
"506",22221,2016
"507",22247,1986
"508",22247,2016
"509",22198,2016
"510",22214,2016
"511",22185,2016
"512",22207,2016
"513",22189,2016
"514",22240,2016
"515",22150,2016
"516",22197,2016
"517",22213,2016
"518",22208,2016
"519",22202,2016
"520",22219,2016
"521",22206,2016
"522",22151,2016
"523",22137,2016
"524",22200,2016
"525",22216,2016
"526",22209,2016
"527",22170,2016
"528",22139,2016
"529",22218,2016
"530",22182,2016
"531",22203,2016
"532",22044,1991
"533",22186,1998
"534",22186,2016
"535",22204,2016
"536",22188,2016
"537",22205,2016
"538",22191,2016
"539",22199,2016
"540",22195,1972
"541",22195,2016
"542",22148,2016
"543",22196,2016
"544",22201,2016
"545",22187,2016
"546",22179,2016
"547",22149,2016
"548",22152,2016
"549",22192,2016
"550",22165,2016
"551",22163,2016
"552",22143,2016
"553",22183,2016
"554",22178,2016
"555",22168,2016
"556",22145,2016
"557",22142,1989
"558",22142,2016
"559",22184,2016
"560",22162,2016
"561",22107,1991
"562",22159,1964
"563",22159,2016
"564",22118,2016
"565",22194,2016
"566",22133,2016
"567",22173,2016
"568",22113,2016
"569",22190,2016
"570",22172,2016
"571",22180,2016
"572",22136,2016
"573",22181,2016
"574",22130,2016
"575",22177,2016
"576",22147,2016
"577",22175,2016
"578",22129,2016
"579",22157,2016
"580",22128,2016
"581",22160,2016
"582",22098,2016
"583",22167,2016
"584",22171,2016
"585",21886,2016
"586",22154,2016
"587",22166,2016
"588",22043,1993
"589",22161,2016
"590",22123,2016
"591",22144,2016
"592",22176,2016
"593",22119,2016
"594",22121,2016
"595",22126,2016
"596",22158,2016
"597",22156,2016
"598",22135,2016
"599",22106,2016
"600",22140,2016
"601",22120,2016
"602",22110,2016
"603",22138,2016
"604",22127,2016
"605",22109,2016
"606",22117,2016
"607",22125,2016
"608",22155,2016
"609",22101,2016
"610",22103,2016
"611",22116,2016
"612",22124,2016
"613",22087,2016
"614",21924,1979
"615",22073,2016
"616",22141,2016
"617",22062,2016
"618",22108,2016
"619",22075,2016
"620",22111,2016
"621",22122,2016
"622",22105,2016
"623",22094,2016
"624",22090,2016
"625",22064,2016
"626",22102,2016
"627",22093,2016
"628",22100,2016
"629",22095,2016
"630",22114,2016
"631",22057,2016
"632",22097,2016
"633",22088,2016
"634",22099,2016
"635",21895,2016
"636",22085,2016
"637",22071,2016
"638",22059,2016
"639",22104,2016
"640",22035,1998
"641",22060,2016
"642",22092,2016
"643",22016,2016
"644",22026,2016
"645",22065,2016
"646",22091,2016
"647",22086,2016
"648",22015,2016
"649",22072,2016
"650",22074,2016
"651",22089,2016
"652",22027,2016
"653",22080,2016
"654",22083,2016
"655",21883,2016
"656",22076,1978
"657",22076,2016
"658",22067,2016
"659",22084,2016
"660",22069,2016
"661",22056,2016
"662",22054,1995
"663",22079,2016
"664",22081,2016
"665",22063,2016
"666",22082,2016
"667",22077,2016
"668",22078,2016
"669",22066,2016
"670",22022,2016
"671",22052,2016
"672",22070,2016
"673",22029,2016
"674",22021,1996
"675",22021,2016
"676",22030,2016
"677",22013,2016
"678",21969,2016
"679",22001,2016
"680",22055,2016
"681",22041,2016
"682",22068,2016
"683",22042,2016
"684",22039,1977
"685",22039,2016
"686",21985,2016
"687",22018,2016
"688",22058,2016
"689",21968,2016
"690",22053,1975
"691",22019,2016
"692",22014,1980
"693",22014,2016
"694",22038,1987
"695",22038,2016
"696",22007,2016
"697",22050,2016
"698",21719,2016
"699",22012,2016
"700",22032,2016
"701",22049,2016
"702",22048,2016
"703",22017,2016
"704",22005,2016
"705",21970,2016
"706",22036,2016
"707",21971,2016
"708",21979,2016
"709",21994,2016
"710",21988,2016
"711",21984,2016
"712",22000,2016
"713",21992,2016
"714",22010,2016
"715",22011,2016
"716",22034,2016
"717",21951,2016
"718",22037,1970
"719",22024,2016
"720",21884,2016
"721",22046,2016
"722",21982,2016
"723",21973,2016
"724",21726,2016
"725",22033,1979
"726",22033,2016
"727",21991,2016
"728",22004,2016
"729",22040,2016
"730",21974,2016
"731",22008,2016
"732",22006,2011
"733",22006,2016
"734",21972,2016
"735",22031,2016
"736",21945,2016
"737",21995,2016
"738",21965,2016
"739",21882,2016
"740",22002,2016
"741",21990,2016
"742",21885,2016
"743",21967,2016
"744",21966,1979
"745",21966,2016
"746",21889,2016
"747",21964,1985
"748",21980,1997
"749",21980,2016
"750",21946,2016
"751",21941,2016
"752",21931,2016
"753",21953,2016
"754",21987,2016
"755",21996,2016
"756",21999,2016
"757",21998,2016
"758",21978,2016
"759",21961,2016
"760",21722,1973
"761",21722,2016
"762",21952,2016
"763",21997,2016
"764",21872,2016
"765",21954,2016
"766",21986,2016
"767",21962,2016
"768",21938,2016
"769",21654,2016
"770",21871,2016
"771",21828,2016
"772",21959,2016
"773",21977,2016
"774",21981,2016
"775",21904,2016
"776",21873,2016
"777",21960,1965
"778",21960,2016
"779",21890,2016
"780",21913,2016
"781",21932,2016
"782",21942,2016
"783",21937,2016
"784",21921,2016
"785",21916,2016
"786",21976,2016
"787",21915,2016
"788",21944,2016
"789",21723,2016
"790",21958,2016
"791",21975,2016
"792",21957,2016
"793",21917,2016
"794",21943,2016
"795",21910,2016
"796",21956,2016
"797",21891,2016
"798",21718,2016
"799",21922,2016
"800",21786,2016
"801",21950,2016
"802",21821,2016
"803",21947,2016
"804",21934,2016
"805",21675,2016
"806",21940,2016
"807",21933,1983
"808",21933,2016
"809",21949,2016
"810",21948,2016
"811",21955,2016
"812",21536,2016
"813",21936,2016
"814",21892,2016
"815",21874,2016
"816",21584,1971
"817",21584,2016
"818",21880,2016
"819",21896,1976
"820",21896,2016
"821",21923,2016
"822",21929,2016
"823",21914,1975
"824",21914,2016
"825",21939,2016
"826",21926,2016
"827",21893,2016
"828",21868,2016
"829",21920,2016
"830",21864,2016
"831",21894,2016
"832",21935,2016
"833",21721,2016
"834",21673,2016
"835",21928,2016
"836",21898,2016
"837",21875,2016
"838",21771,2016
"839",21725,2016
"840",21912,2016
"841",21865,2016
"842",21802,2016
"843",21676,2016
"844",21887,2016
"845",21919,2016
"846",21909,2016
"847",21700,2016
"848",21911,2016
"849",21869,2009
"850",21869,2016
"851",21918,2016
"852",21677,2016
"853",21818,2016
"854",21784,2016
"855",21862,2016
"856",21901,2000
"857",21901,2016
"858",21858,2016
"859",21900,2016
"860",21877,2016
"861",21899,2016
"862",21785,2016
"863",21724,2016
"864",21908,2016
"865",21879,2016
"866",21876,2016
"867",21820,2016
"868",21859,2016
"869",21907,2016
"870",21888,2016
"871",21678,2016
"872",21878,2016
"873",21906,2016
"874",21861,2016
"875",21863,2016
"876",21852,2016
"877",21782,2016
"878",21783,2016
"879",21855,2016
"880",21720,2016
"881",21817,2016
"882",21701,1971
"883",21701,2016
"884",21854,2016
"885",21856,2016
"886",21905,2016
"887",21849,2016
"888",21860,2016
"889",21645,2016
"890",21857,2016
"891",21819,2016
"892",21794,2016
"893",21810,1982
"894",21810,2016
"895",21815,2016
"896",21687,2016
"897",21804,2016
"898",21853,2016
"899",21851,2016
"900",21848,2016
"901",21653,2016
"902",21813,2016
"903",21903,2016
"904",21816,1990
"905",21816,2016
"906",21836,2016
"907",21835,2016
"908",21850,2016
"909",21801,2016
"910",21845,1987
"911",21842,1982
"912",21844,1986
"913",21846,1991
"914",21841,1984
"915",21866,1980
"916",21843,1981
"917",21847,1985
"918",21715,2016
"919",21839,2016
"920",21637,2016
"921",21781,2016
"922",21743,2016
"923",21806,2016
"924",21834,2016
"925",21825,2016
"926",21867,2016
"927",21826,2016
"928",21838,2016
"929",21837,2016
"930",21833,2016
"931",21797,1960
"932",21797,2016
"933",21762,1995
"934",21762,2016
"935",21717,2016
"936",21814,2016
"937",21694,2016
"938",21799,1968
"939",21799,2016
"940",21840,2016
"941",21744,2016
"942",21714,2006
"943",21714,2016
"944",21696,2016
"945",21832,2016
"946",21827,2016
"947",21808,2016
"948",21807,1983
"949",21807,2016
"950",21792,2016
"951",21695,2016
"952",21709,2016
"953",21778,2016
"954",21708,2016
"955",21809,2016
"956",21758,2016
"957",21791,2016
"958",21699,2016
"959",21831,2016
"960",21822,2016
"961",21800,2016
"962",21733,2016
"963",21729,2016
"964",21824,2016
"965",21681,2016
"966",21680,2016
"967",21829,2016
"968",21636,2016
"969",21703,2016
"970",21698,2016
"971",21749,2016
"972",21697,2016
"973",21742,2016
"974",21780,2016
"975",21755,1983
"976",21755,2016
"977",21688,2016
"978",21812,2016
"979",21716,2016
"980",21732,2016
"981",21547,2016
"982",21562,2016
"983",21811,2016
"984",21770,2016
"985",21752,2016
"986",21769,2016
"987",21690,2016
"988",21679,2016
"989",21803,2016
"990",21693,2016
"991",21597,2016
"992",21748,2016
"993",21767,2016
"994",21594,2015
"995",21704,1971
"996",21704,2016
"997",21635,2016
"998",21796,2016
"999",21750,2016
"1000",21805,2016
"1001",21587,1994
"1002",21587,2016
"1003",21775,2010
"1004",21775,2016
"1005",21766,2016
"1006",21751,2016
"1007",21728,2016
"1008",21674,2016
"1009",21756,2016
"1010",21768,2016
"1011",21596,2016
"1012",21747,2016
"1013",21776,2016
"1014",21628,2016
"1015",21627,2016
"1016",21576,2016
"1017",21633,2016
"1018",21757,2016
"1019",21765,2016
"1020",21779,2016
"1021",21741,2016
"1022",21626,2016
"1023",21777,2016
"1024",21790,2016
"1025",21763,2016
"1026",21595,2016
"1027",21538,2016
"1028",21537,2016
"1029",21593,2016
"1030",21789,2016
"1031",21551,2016
"1032",21660,2016
"1033",21710,2016
"1034",21764,2016
"1035",21754,2016
"1036",21788,2016
"1037",21629,2016
"1038",21652,2016
"1039",21652,1984
"1040",21686,2016
"1041",21761,2016
"1042",21740,2016
"1043",21535,2016
"1044",21746,2016
"1045",21656,2016
"1046",21685,2016
"1047",21625,2016
"1048",21702,2016
"1049",21641,2016
"1050",21712,2016
"1051",21759,2016
"1052",21664,2016
"1053",21745,2016
"1054",21737,2016
"1055",21518,2016
"1056",21683,2016
"1057",21738,2016
"1058",21773,2016
"1059",21615,2016
"1060",21707,2016
"1061",21550,2016
"1062",21730,2016
"1063",21684,2016
"1064",21727,2016
"1065",21647,2016
"1066",21672,2016
"1067",21739,2016
"1068",21614,2016
"1069",21617,2016
"1070",21591,2016
"1071",21646,2016
"1072",21692,2016
"1073",21650,2016
"1074",21640,2016
"1075",21590,2016
"1076",21736,2016
"1077",21605,2016
"1078",21670,2016
"1079",21753,2016
"1080",21588,2016
"1081",21549,2016
"1082",21666,1991
"1083",21666,2016
"1084",21632,1983
"1085",21632,2016
"1086",21606,2016
"1087",21509,2016
"1088",21631,2016
"1089",21713,2016
"1090",21630,2016
"1091",21616,2016
"1092",21731,2016
"1093",21668,2016
"1094",21711,2016
"1095",21658,2016
"1096",21612,2016
"1097",21563,2016
"1098",21667,2016
"1099",21644,2016
"1100",21642,2016
"1101",21691,2016
"1102",21586,2016
"1103",21555,2016
"1104",21669,2016
"1105",21546,2016
"1106",21655,2016
"1107",21665,2016
"1108",21706,2016
"1109",21443,2016
"1110",21651,2016
"1111",21659,2016
"1112",21705,2016
"1113",21526,2016
"1114",21643,2016
"1115",21486,2016
"1116",21623,2016
"1117",21527,2016
"1118",21603,2016
"1119",21415,2016
"1120",21648,2016
"1121",21624,2016
"1122",21575,2016
"1123",21682,2016
"1124",21569,2016
"1125",21534,2016
"1126",21613,2016
"1127",21561,2016
"1128",21574,2016
"1129",21622,2016
"1130",21512,2016
"1131",21610,2016
"1132",21558,2000
"1133",21558,2016
"1134",21585,2016
"1135",21583,2016
"1136",21582,2016
"1137",21661,2016
"1138",21663,2016
"1139",21573,2016
"1140",21600,2016
"1141",21408,2016
"1142",21621,2016
"1143",21510,2012
"1144",21510,2016
"1145",21604,2016
"1146",21567,2016
"1147",21611,2016
"1148",21639,2016
"1149",21504,2016
"1150",21609,2016
"1151",21453,2016
"1152",21572,2016
"1153",21570,2016
"1154",21412,2016
"1155",21544,2016
"1156",21619,1982
"1157",21619,2016
"1158",21435,2016
"1159",21657,2016
"1160",21548,1979
"1161",21548,2016
"1162",21607,2016
"1163",21560,2016
"1164",21608,2016
"1165",21620,2016
"1166",21439,2016
"1167",21602,2016
"1168",21638,2016
"1169",21452,2016
"1170",21559,2016
"1171",21601,2016
"1172",21470,2016
"1173",21466,2016
"1174",21545,2016
"1175",21571,2016
"1176",21339,2016
"1177",21557,2016
"1178",21523,2016
"1179",21414,2016
"1180",21467,2016
"1181",21599,2016
"1182",21017,2016
"1183",21568,2016
"1184",21495,2016
"1185",21508,2016
"1186",21580,2016
"1187",21525,2016
"1188",21566,2016
"1189",21533,2016
"1190",21564,1972
"1191",21564,2016
"1192",21333,2016
"1193",21398,2016
"1194",21465,2016
"1195",21556,2016
"1196",21581,2016
"1197",21542,2016
"1198",21543,2016
"1199",21494,2016
"1200",21419,2016
"1201",21524,2016
"1202",21565,2016
"1203",21598,2016
"1204",21492,2016
"1205",21531,2016
"1206",21493,2016
"1207",21578,2016
"1208",21522,2016
"1209",21532,2016
"1210",21468,2016
"1211",21577,2016
"1212",21410,2016
"1213",21507,2016
"1214",21554,2016
"1215",21529,2016
"1216",21413,2016
"1217",21579,2016
"1218",21511,2016
"1219",21530,2016
"1220",21463,2016
"1221",21521,2016
"1222",21514,2016
"1223",21520,2016
"1224",21485,2016
"1225",21515,2016
"1226",21516,2016
"1227",21553,2016
"1228",21409,2016
"1229",21482,2016
"1230",21451,2016
"1231",21539,2016
"1232",21287,2016
"1233",21513,2016
"1234",21552,2016
"1235",21464,2016
"1236",21484,2016
"1237",21499,2016
"1238",21502,2016
"1239",21541,2016
"1240",21469,2016
"1241",21528,2016
"1242",21462,2016
"1243",21506,2016
"1244",21483,2016
"1245",21498,2016
"1246",21519,2016
"1247",21540,2016
"1248",21472,2016
"1249",21517,2016
"1250",21459,2016
"1251",21437,1981
"1252",21437,2016
"1253",21480,2016
"1254",21471,2016
"1255",21450,2016
"1256",21382,2016
"1257",21456,2016
"1258",21481,2016
"1259",21461,1966
"1260",21461,2016
"1261",21479,2016
"1262",21433,2016
"1263",21489,2016
"1264",21384,2016
"1265",21449,2016
"1266",21335,2016
"1267",21383,2016
"1268",21396,2015
"1269",21460,2016
"1270",21310,2015
"1271",21407,1979
"1272",21407,2016
"1273",21381,2016
"1274",21444,2016
"1275",21497,2016
"1276",21441,2016
"1277",21473,2016
"1278",21445,2016
"1279",21438,2016
"1280",21487,1977
"1281",21476,1979
"1282",21478,1977
"1283",21477,1974
"1284",21488,1975
"1285",21496,2016
"1286",21442,2016
"1287",21448,2015
"1288",21457,2015
"1289",21440,2015
"1290",21475,2016
"1291",21380,2016
"1292",21417,2016
"1293",21400,1999
"1294",21400,2016
"1295",21458,2016
"1296",21434,2016
"1297",21406,2016
"1298",21490,2016
"1299",21436,2016
"1300",21455,2016
"1301",21428,2016
"1302",21345,1964
"1303",21345,2015
"1304",21454,2016
"1305",21420,2015
"1306",21431,2016
"1307",21402,2015
"1308",21403,2015
"1309",21422,2016
"1310",21430,2015
"1311",21432,2016
"1312",21397,2015
"1313",21423,2016
"1314",21426,2015
"1315",21347,2016
"1316",21429,2015
"1317",21394,2016
"1318",21388,2016
"1319",21421,2015
"1320",21395,2016
"1321",21446,2016
"1322",21392,2016
"1323",21391,2015
"1324",21418,2016
"1325",21425,2016
"1326",21393,2016
"1327",21387,2016
"1328",21399,2014
"1329",21399,2016
"1330",21405,2016
"1331",21447,2016
"1332",21389,2016
"1333",21353,2015
"1334",21378,2015
"1335",21386,2015
"1336",21330,2015
"1337",21404,2015
"1338",21332,2016
"1339",21355,2015
"1340",21370,2015
"1341",21424,2016
"1342",21385,2015
"1343",21351,2015
"1344",21377,2015
"1345",21416,2015
"1346",21368,2013
"1347",21368,2016
"1348",21350,2016
"1349",21369,2015
"1350",21343,2016
"1351",21341,2015
"1352",21348,2015
"1353",21338,2015
"1354",21337,2015
"1355",21328,1992
"1356",21328,2015
"1357",21349,2015
"1358",21331,2015
"1359",21352,2016
"1360",21326,2015
"1361",21329,2015
"1362",20947,2015
"1363",21342,2015
"1364",21296,2015
"1365",21179,2015
"1366",21344,2015
"1367",21312,2015
"1368",21308,2015
"1369",21325,2015
"1370",21340,2015
"1371",21336,2015
"1372",21324,2015
"1373",21256,2015
"1374",21327,2015
"1375",21305,2015
"1376",21317,2015
"1377",21309,2015
"1378",21297,2015
"1379",21313,2015
"1380",21306,1980
"1381",21306,2015
"1382",21289,2015
"1383",21307,2015
"1384",21283,2015
"1385",21280,2015
"1386",21280,1976
"1387",21321,2015
"1388",21292,2015
"1389",21265,1996
"1390",21265,2015
"1391",21318,2015
"1392",21322,2015
"1393",21286,2015
"1394",21235,2015
"1395",21228,2015
"1396",21263,2015
"1397",20996,2015
"1398",21212,2015
"1399",21302,2015
"1400",21259,1991
"1401",21259,2015
"1402",21281,2015
"1403",21293,2015
"1404",21319,2015
"1405",21209,2015
"1406",21294,2015
"1407",21269,2015
"1408",21304,2015
"1409",21295,2015
"1410",21315,2015
"1411",21245,2015
"1412",21320,2015
"1413",21288,2015
"1414",21158,2015
"1415",21301,2015
"1416",21270,2015
"1417",21250,2015
"1418",21208,2015
"1419",21279,1995
"1420",21279,2015
"1421",21169,2015
"1422",21299,2015
"1423",21201,2015
"1424",21134,2015
"1425",21246,2015
"1426",21275,2015
"1427",21240,2015
"1428",21258,2015
"1429",21242,2015
"1430",21164,2015
"1431",21274,2015
"1432",21300,2015
"1433",21237,2015
"1434",21233,2015
"1435",21213,2015
"1436",21189,2015
"1437",21277,2015
"1438",21159,2015
"1439",21239,2015
"1440",21231,2015
"1441",21221,2015
"1442",21216,2015
"1443",21285,2015
"1444",21241,2015
"1445",21248,2015
"1446",21163,2015
"1447",21135,2015
"1448",21255,2015
"1449",21141,2015
"1450",20916,2015
"1451",21261,2015
"1452",21225,2015
"1453",21247,2015
"1454",20588,2015
"1455",21218,1990
"1456",21218,2015
"1457",21271,2015
"1458",21217,2015
"1459",21266,2015
"1460",21273,2015
"1461",21157,2015
"1462",21109,2015
"1463",21215,2015
"1464",21205,2015
"1465",21276,2015
"1466",21253,2015
"1467",21254,2015
"1468",21272,2015
"1469",21203,2015
"1470",21252,2015
"1471",21264,2015
"1472",21267,2015
"1473",21207,2015
"1474",21188,2015
"1475",21249,2015
"1476",21108,2015
"1477",21232,2015
"1478",21142,2015
"1479",21229,2015
"1480",21133,2015
"1481",21214,2015
"1482",21262,2015
"1483",21092,1968
"1484",21092,2015
"1485",21132,2015
"1486",21191,2015
"1487",21178,2015
"1488",21053,2015
"1489",21180,2015
"1490",21243,2015
"1491",21260,2015
"1492",21220,1970
"1493",21220,2015
"1494",21124,2015
"1495",21177,2015
"1496",21193,2015
"1497",21131,2015
