"","X1","artist","title","reviewid","score","author","author_type","pub_date","pub_weekday","album_release_year"
"45",44,"band of horses","everything all the time",1200,8.8,"stephen m. deusner","contributor",2006-03-19,6,2006
"46",45,"baroness","yellow & green",16771,8.5,"brandon stosuy","contributor",2012-07-18,2,2012
"47",46,"baroness","purple",21179,8.5,"brandon stosuy","contributor",2015-12-10,3,2015
"48",47,"basement jaxx","kish kash",573,9.1,"scott plagenhoef","contributor",2003-10-21,1,2003
"49",48,"bat for lashes","two suns",12910,8.5,"mark pytlik","contributor",2009-04-10,4,2009
"50",49,"bat for lashes","the haunted man",17174,8.4,"marc hogan","senior staff writer",2012-10-22,0,2012
"51",50,"baths","obsidian",18065,8.6,"ian cohen","contributor",2013-05-28,1,2013
"52",51,"battles","mirrored",10225,9.1,"jess harvell","contributor",2007-05-15,1,2007
"53",52,"beach house","devotion",11208,8.5,"brian howe","contributor",2008-02-26,1,2008
"54",53,"beach house","teen dream",13872,9,"mark richardson","executive editor",2010-01-26,1,2010
"55",54,"beach house","bloom",16604,9.1,"lindsay zoladz","contributor",2012-05-14,0,2012
"56",55,"beach house","depression cherry",20691,8.4,"jayson greene","senior editor",2015-08-18,1,2015
"57",56,"bear in heaven","beast rest forth mouth",13618,8.4,"eric harvey","contributor",2009-11-09,0,2009
"58",57,"belle & sebastian","the life pursuit",639,8.5,"marc hogan","senior staff writer",2006-02-05,6,2006
"59",58,"ben frost","a u r o r a",19302,8.5,"brandon stosuy","contributor",2014-05-30,4,2014
"60",59,"best coast","crazy for you",14472,8.4,"larry fitzmaurice","contributor",2010-07-27,1,2010
"61",60,"beyonce","beyonce",18821,8.8,"carrie battan","contributor",2014-01-06,0,2013
"62",61,"beyonce","lemonade",21867,8.5,"jillian mapes","senior editor",2016-04-26,1,2016
"63",62,"bibio","ambivalence avenue",13125,8.3,"brian howe","contributor",2009-06-26,4,2009
"64",63,"big boi","sir lucious left foot: the son of chico dusty",14424,9.2,"tom breihan","contributor",2010-07-06,1,2010
"65",65,"bill callahan","sometimes i wish we were an eagle",12929,8.1,"brian howe","contributor",2009-04-17,4,2009
"66",66,"bill callahan","dream river",18491,8.5,"lindsay zoladz","contributor",2013-09-17,1,2013
"67",67,"bjork","vulnicura",20181,8.6,"katherine st. asaph","contributor",2015-01-23,4,2015
"68",68,"bjork","medulla",737,8.4,"dominique leone","contributor",2004-08-30,0,2004
"69",70,"black lips","good bad not evil",10626,8.3,"jason crock",NA,2007-09-06,3,2007
"70",71,"black mountain","black mountain",1146,8.3,"sam ubl",NA,2005-01-16,6,2005
"71",72,"blitzen trapper","wild mountain nation",10292,8.5,"jason crock",NA,2007-06-14,3,2007
"72",73,"bloc party","silent alarm",1130,8.9,"nitsuh abebe","contributor",2005-02-14,0,2005
"73",74,"blood orange","cupid deluxe",18736,8.5,"ryan dombal","senior editor",2013-11-13,2,2013
"74",75,"blood orange","freetown sound",22052,8.8,"marcus j. moore","contributor",2016-06-30,3,2016
"75",76,"boards of canada","tomorrow's harvest",18104,8.3,"mark richardson","executive editor",2013-06-10,0,2013
"76",77,"bon iver","bon iver, bon iver",15551,9.5,"mark richardson","executive editor",2011-06-20,0,2011
"77",78,"bon iver","22, a million",22420,9,"amanda petrusich","contributor",2016-09-30,4,2016
"78",79,"bonnie prince billie","superwolf",703,8.4,"amanda petrusich","contributor",2005-01-31,0,2005
"79",80,"bonnie prince billy","lie down in the light",11549,8.7,"stephen m. deusner","contributor",2008-05-27,1,2008
"80",81,"boris","pink",1185,8.7,"brandon stosuy","contributor",2006-01-09,0,2005
"81",82,"brian wilson","smile",8781,9,"dominique leone","contributor",2004-09-28,1,2004
"82",83,"broken social scene","forgiveness rock record",14200,8.3,"ryan dombal","senior editor",2010-05-03,0,2010
"83",84,"broken social scene","you forgot it in people",952,9.2,"ryan schreiber","editor-in-chief",2003-02-02,6,2002
"84",85,"broken social scene","broken social scene",955,8.4,"ryan dombal","senior editor",2005-10-03,0,2005
"85",86,"burial","untrue",10877,8.4,"philip sherburne","contributing editor",2007-11-13,1,2007
"86",87,"burial","kindred",16292,8.7,"andrew ryce","contributor",2012-02-15,2,2012
"87",88,"burial","truant / rough sleeper",17498,8.4,"mark richardson","executive editor",2013-01-04,4,2012
"88",89,"burial","rival dealer",18820,9,"larry fitzmaurice","contributor",2013-12-13,4,2013
"89",90,"califone","roots and crowns",9479,8.7,"amanda petrusich","contributor",2006-10-09,0,2006
"90",91,"camera obscura","my maudlin career",12942,8.3,"brian howe","contributor",2009-04-21,1,2009
"91",92,"car seat headrest","teens of denial",21673,8.5,"jeremy gordon","contributor",2016-05-20,4,2016
"92",93,"caribou","andorra",10559,8.3,"mark richardson","executive editor",2007-08-23,3,2007
"93",94,"caribou","swim",14157,8.4,"larry fitzmaurice","contributor",2010-04-20,1,2010
"94",95,"caribou","the milk of human kindness",1805,8.5,"mark richardson","executive editor",2005-04-20,2,2005
"95",96,"caribou","our love",19762,8.6,"jamieson cox","contributor",2014-10-07,1,2014
"96",97,"caribou","up in flames",5077,8.6,"mark richardson","executive editor",2003-04-03,3,2003
"97",98,"cass mccombs","catacombs",13180,8.2,"david bevan","contributor",2009-07-10,4,2009
"98",99,"cass mccombs","wit's end",15343,8.4,"ryan dombal","senior editor",2011-04-22,4,2011
"99",100,"castanets","cathedral",1774,8.5,"amanda petrusich","contributor",2004-08-31,1,2004
"100",101,"cee-lo green","cee-lo green is the soul machine",1755,8.3,"rollie pemberton",NA,2004-03-04,3,2004
"101",102,"ceo","white magic",14407,8.5,"joe colly","contributor",2010-06-30,2,2010
"102",103,"chance the rapper","acid rap",18105,8.4,"jeff weiss","contributor",2013-05-07,1,2013
"103",104,"chance the rapper","coloring book",21909,9.1,"kris ex","contributor",2016-05-17,1,2016
"104",105,"charli xcx","true romance",17880,8.3,"marc hogan","senior staff writer",2013-04-25,3,2013
"105",106,"charlotte gainsbourg","irm",13878,8.4,"ryan dombal","senior editor",2010-01-28,3,2009
"106",107,"chromatics","night drive",10763,8.3,"jess harvell","contributor",2007-10-11,3,2007
"107",108,"chromatics","kill for love",16452,8.7,"marc hogan","senior staff writer",2012-04-03,1,2012
"108",109,"chvrches","the bones of what you believe",18523,8.5,"larry fitzmaurice","contributor",2013-09-25,2,2013
"109",110,"clap your hands say yeah","clap your hands say yeah",1811,9,"brian howe","contributor",2005-06-21,1,2005
"110",111,"clark","clark",19905,8.3,"ryan dombal","senior editor",2014-11-07,4,2014
"111",112,"clearlake","cedars",1495,9.1,"brent dicrescenzo","contributor",2003-06-22,6,2003
"112",113,"clipse","hell hath no fury",9658,9.1,"sean fennessey","contributor",2006-11-27,0,2006
"113",114,"cloud nothings","attack on memory",16158,8.6,"ian cohen","contributor",2012-01-23,0,2012
"114",115,"cloud nothings","here and nowhere else",19075,8.7,"ian cohen","contributor",2014-03-31,0,2014
"115",116,"comets on fire","blue cathedral",1563,8.5,"brandon stosuy","contributor",2004-07-29,3,2004
"116",117,"common","be",1566,8.6,"ryan dombal","senior editor",2005-05-31,1,2005
"117",118,"converge","all we love we leave behind",17132,8.6,"brandon stosuy","contributor",2012-10-12,4,2012
"118",119,"courtney barnett","sometimes i sit and think, and sometimes i just sit",20268,8.6,"mike powell","contributor",2015-03-23,0,2015
"119",120,"crystal antlers","ep",11580,8.5,"ian cohen",NA,2008-06-11,2,2008
"120",121,"crystal castles","crystal castles",14190,8.5,"ian cohen","contributor",2010-04-29,3,2010
"121",122,"cults","cults",15432,8.5,"joe tangari","contributor",2011-06-06,0,2011
"122",123,"curren$y","pilot talk",14474,8.4,"tom breihan","contributor",2010-07-30,4,2010
"123",124,"cut copy","in ghost colours",11407,8.8,"mark pytlik","contributor",2008-04-14,0,2008
"124",125,"cut copy","zonoscope",15055,8.6,"tom breihan","contributor",2011-02-07,0,2011
"125",127,"cymbals eat guitars","why there are mountains",12826,8.3,"ian cohen","contributor",2009-03-16,0,2009
"126",128,"d'angelo","black messiah",20078,9.4,"craig jenkins","contributor",2014-12-19,4,2014
"127",129,"daft punk","alive 2007",10925,8.5,"ryan dombal","senior editor",2007-11-20,1,2007
"128",130,"daft punk","random access memories",18028,8.8,"mark richardson","executive editor",2013-05-20,0,2013
"129",131,"dan deacon","spiderman of the rings",10207,8.7,"jess harvell","contributor",2007-05-11,4,2007
"130",132,"dan deacon","bromst",12833,8.5,"nitsuh abebe","contributor",2009-03-18,2,2009
"131",133,"danielson famile","ships",2642,9.1,"ryan schreiber","editor-in-chief",2006-05-10,2,2006
"132",134,"danny brown","old",18565,8.7,"jayson greene","senior editor",2013-10-03,3,2013
"133",135,"danny brown","atrocity exhibition",22468,8.5,"matthew ramirez","contributor",2016-10-03,0,2016
"134",136,"darkside","psychic",18586,9,"ian cohen","contributor",2013-10-07,0,2013
"135",137,"das racist","sit down, man",14662,8.7,"ian cohen","contributor",2010-09-23,3,2010
"136",138,"david bowie","blackstar",21332,8.5,"ryan dombal","senior editor",2016-01-07,3,2016
"137",139,"deafheaven","sunbather",18060,8.9,"brandon stosuy","contributor",2013-06-11,1,2013
"138",140,"deafheaven","new bermuda",21022,9,"jayson greene","senior editor",2015-10-01,3,2015
"139",141,"death from above 1979","you're a woman, i'm a machine",2587,8.3,"nick sylvester","contributor",2004-10-28,3,2004
"140",142,"death grips","the money store",16512,8.7,"jayson greene","senior editor",2012-04-24,1,2012
"141",143,"death grips","government plates",18779,8.4,"ian cohen","contributor",2013-11-19,1,2013
"142",144,"deerhoof","apple o",2252,8.3,"eric carr","contributor",2003-03-27,3,2003
"143",145,"deerhoof","the runners four",2256,9,"nick sylvester","contributor",2005-10-09,6,2005
"144",146,"deerhoof","friend opportunity",9810,8.9,"chris dahlen",NA,2007-01-23,1,2007
"145",147,"deerhunter","fluorescent grey",10082,8.8,"marc hogan","senior staff writer",2007-04-16,0,2007
"146",148,"deerhunter","microcastle / weird era cont.",12360,9.2,"marc hogan","senior staff writer",2008-10-27,0,2008
"147",149,"deerhunter","halcyon digest",14681,9.2,"marc hogan","senior staff writer",2010-09-27,0,2010
"148",150,"deerhunter","monomania",17966,8.3,"ian cohen","contributor",2013-05-03,4,2013
"149",151,"deerhunter","fading frontier",21039,8.4,"ian cohen","contributor",2015-10-12,0,2015
"150",152,"deerhunter","cryptograms",9824,8.9,"marc hogan","senior staff writer",2007-01-30,1,2007
"151",153,"delorean","ayrton senna",13339,8.4,"marc hogan","senior staff writer",2009-07-28,1,2009
"152",154,"delorean","subiza",14147,8.4,"andrew gaerig","contributor",2010-04-22,3,2010
"153",155,"department of eagles","in ear park",12275,8.3,"amanda petrusich","contributor",2008-10-07,1,2008
"154",156,"destroyer","kaputt",15034,8.8,"mark richardson","executive editor",2011-01-24,0,2011
"155",157,"destroyer","destroyer's rubies",8970,8.5,"matt lemay","contributor",2006-02-20,0,2006
"156",158,"devendra banhart","rejoicing in the hands",548,8.4,"dominique leone","contributor",2004-03-16,1,2004
"157",159,"devendra banhart","cripple crow",553,8.4,"brandon stosuy","contributor",2005-09-12,0,2005
"158",160,"diiv","oshin",16749,8.3,"ian cohen","contributor",2012-06-26,1,2012
"159",161,"dinosaur jr.","farm",13109,8.5,"marc masters","contributor",2009-06-22,0,2009
"160",163,"dirty beaches","drifters / love is the devil",18076,8.4,"larry fitzmaurice","contributor",2013-05-23,3,2013
"161",164,"dirty projectors","bitte orca",13159,9.2,"paul thompson","contributor",2009-06-09,1,2009
"162",165,"dirty projectors","swing lo magellan",16806,8.8,"grayson currin","contributor",2012-07-09,0,2012
"163",166,"disclosure","settle",18091,9.1,"larry fitzmaurice","contributor",2013-06-04,1,2013
"164",167,"dizzee rascal","boy in da corner",2345,9.4,"scott plagenhoef","contributor",2003-07-06,6,2003
"165",169,"dj koze","amygdala",17793,8.6,"andrew ryce","contributor",2013-03-27,2,2013
"166",170,"dj quik","the book of david",15369,8.4,"jayson greene","senior editor",2011-04-28,3,2011
"167",171,"dj rashad","double cup",18627,8.6,"larry fitzmaurice","contributor",2013-10-22,1,2013
"168",172,"donnie trumpet & the social experiment","surf",20664,8.3,"david drake","contributor",2015-06-05,4,2015
"169",173,"dr. dre","compton",20935,8.8,"jay balfour","contributor",2015-08-11,1,2015
"170",174,"drake","take care",16039,8.6,"ryan dombal","senior editor",2011-11-14,0,2011
"171",175,"drake","nothing was the same",18511,8.6,"jayson greene","senior editor",2013-09-23,0,2013
"172",176,"drake","if you're reading this it's too late",20271,8.3,"craig jenkins","contributor",2015-02-17,1,2015
"173",177,"dum dum girls","end of daze",17084,8.3,"lindsay zoladz","contributor",2012-09-24,0,2012
"174",178,"dungen","ta det lugnt",2573,9.3,"brandon stosuy","contributor",2004-09-16,3,2004
"175",179,"dvsn","sept. 5th",21756,8.3,"ryan dombal","senior editor",2016-04-05,1,2016
"176",180,"earl sweatshirt","doris",18380,8.3,"craig jenkins","contributor",2013-08-19,0,2013
"177",181,"edan","beauty and the beat",2682,8.8,"peter macia","contributor",2005-04-18,0,2005
"178",182,"el-p","cancer for cure",16641,8.5,"jeff weiss","contributor",2012-05-21,0,2012
"179",183,"el guincho","alegranza!",11200,8.3,"tim finney",NA,2008-02-22,4,2007
"180",184,"ellen allien","berlinette",411,8.9,"nitsuh abebe","contributor",2003-11-10,0,2003
"181",185,"elza soares","a mulher do fim do mundo (the woman at the end of the world)",22173,8.4,"philip sherburne","contributing editor",2016-07-29,4,2016
"182",186,"ema","past life martyred saints",15386,8.5,"nick neyland","contributor",2011-05-10,1,2011
"183",187,"emeralds","does it look like i'm here?",14275,8.3,"philip sherburne","contributing editor",2010-06-09,2,2010
"184",188,"empress of","me",20976,8.2,"stuart berman","contributor",2015-09-08,1,2015
"185",189,"eno & hyde","high life",19539,8.5,"mark richardson","executive editor",2014-07-02,2,2014
"186",191,"esperanza spalding","emilys d+evolution",21575,8.6,"marcus j. moore","contributor",2016-03-04,4,2016
"187",192,"ex hex","rips",19891,8.4,"aaron leitko","contributor",2014-10-10,4,2014
"188",194,"fang island","fang island",14011,8.3,"ian cohen","contributor",2010-03-15,0,2010
"189",195,"father john misty","i love you, honeybear",20131,8.8,"mike powell","contributor",2015-02-09,0,2015
"190",196,"feist","the reminder",10178,8.8,"ryan dombal","senior editor",2007-04-30,0,2007
"191",197,"fever ray","fever ray",12845,8.1,"mark pytlik","contributor",2009-03-20,4,2009
"192",198,"fiona apple","the idler wheel is wiser than the driver of the screw and whipping cords will serve you more than ropes will ever do",16732,9,"ryan dombal","senior editor",2012-06-18,0,2012
"193",199,"fka twigs","lp1",19590,8.8,"philip sherburne","contributing editor",2014-08-11,0,2014
"194",200,"fka twigs","m3ll155x",20985,8.6,"anupa mistry","contributor",2015-08-19,2,2015
"195",201,"fleet foxes","sun giant",11206,8.7,"stephen m. deusner","contributor",2008-02-29,4,2008
"196",202,"fleet foxes","fleet foxes",11587,9,"stephen m. deusner","contributor",2008-06-06,4,2008
"197",203,"fleet foxes","helplessness blues",15363,8.8,"larry fitzmaurice","contributor",2011-05-02,0,2011
"198",204,"floating points","elaenia",21110,8.4,"philip sherburne","contributing editor",2015-11-03,1,2015
"199",205,"flying lotus","los angeles",12132,8.5,"nate patrin","contributor",2008-08-29,4,2008
"200",206,"flying lotus","cosmogramma",14198,8.8,"joe colly","contributor",2010-05-06,3,2010
"201",207,"flying lotus","until the quiet comes",17115,8.5,"mark richardson","executive editor",2012-10-01,0,2012
"202",208,"flying lotus","you're dead!",19875,8.3,"nate patrin","contributor",2014-10-06,0,2014
"203",209,"fog","ether teeth",3130,8.4,"amanda petrusich","contributor",2003-05-20,1,2003
"204",210,"forest swords","engravings",18401,8.5,"marc masters","contributor",2013-08-27,1,2013
"205",211,"four tet","there is love in you",13861,8.6,"mark richardson","executive editor",2010-01-25,0,2010
"206",212,"four tet","rounds",3166,8.2,"andy beta","contributor",2003-05-04,6,2003
"207",213,"foxygen","we are the 21st century ambassadors of peace & magic",17552,8.4,"jayson greene","senior editor",2013-01-22,1,2013
"208",214,"frank ocean","channel orange",16859,9.5,"ryan dombal","senior editor",2012-07-12,3,2012
"209",215,"frank ocean","blonde",22295,9,"ryan dombal","senior editor",2016-08-25,3,2016
"210",216,"frankie cosmos","next thing",21765,8.5,"kevin lozano","tracks coordinator",2016-04-01,4,2016
"211",217,"frankie rose","interstellar",16304,8.4,"jayson greene","senior editor",2012-02-21,1,2012
"212",218,"franz ferdinand","franz ferdinand",3279,9.1,"brent dicrescenzo","contributor",2004-03-08,0,2004
"213",219,"fuck buttons","street horrrsing",11280,8.6,"marc masters","contributor",2008-03-17,0,2008
"214",220,"fuck buttons","tarot sport",13617,9,"joe colly","contributor",2009-10-23,4,2009
"215",221,"fuck buttons","slow focus",18295,8.7,"jayson greene","senior editor",2013-07-22,0,2013
"216",222,"fucked up","the chemistry of common life",12320,8.8,"ian cohen","contributor",2008-10-16,3,2008
"217",223,"fucked up","david comes to life",15513,8.6,"larry fitzmaurice","contributor",2011-06-08,2,2011
"218",224,"fujiya & miyagi","transparent things",9372,8.3,"william bowers","contributor",2006-09-14,3,2006
"219",225,"future","DS2 (Deluxe)",20810,8.4,"meaghan garvey","contributor",2015-07-22,2,2015
"220",227,"gang gang dance","eye contact",15403,8.5,"aaron leitko","contributor",2011-05-06,4,2011
"221",228,"ghostface killah","fishscale",3637,9,"ryan dombal","senior editor",2006-03-27,0,2006
"222",229,"giddy motors","make it pop",3447,8.3,"eric carr","contributor",2003-02-11,1,2002
"223",230,"gil scott-heron","i'm new here",13893,8.5,"nate patrin","contributor",2010-02-10,2,2010
"224",231,"girl talk","night ripper",9208,8.4,"sean fennessey","contributor",2006-07-17,0,2006
"225",232,"girls","album",13477,9.1,"tom breihan","contributor",2009-09-25,4,2009
"226",233,"girls","broken dreams club",14870,8.7,"david bevan","contributor",2010-11-18,3,2010
"227",234,"girls","father, son, holy ghost",15811,9.3,"mark richardson","executive editor",2011-09-12,0,2011
"228",235,"godspeed you! black emperor","allelujah! don't bend! ascend!",17283,9.3,"mark richardson","executive editor",2012-10-15,0,2012
"229",236,"gonjasufi","a sufi and a killer",13968,8.4,"nate patrin","contributor",2010-03-04,3,2010
"230",237,"gorillaz","plastic beach",14008,8.5,"sean fennessey","contributor",2010-03-10,2,2010
"231",238,"grandaddy","sumday",3544,8.1,"amanda petrusich","contributor",2003-06-08,6,2003
"232",239,"grimes","visions",16211,8.5,"lindsay zoladz","contributor",2012-02-17,4,2012
"233",240,"grimes","art angels",21264,8.5,"jessica hopper","contributor",2015-11-10,1,2015
"234",241,"grizzly bear","friend",10871,8.5,"ryan schreiber","editor-in-chief",2007-11-06,1,2007
"235",242,"grizzly bear","veckatimest",13078,9,"paul thompson","contributor",2009-05-26,1,2009
"236",243,"grizzly bear","shields",17037,9.1,"lindsay zoladz","contributor",2012-09-17,0,2012
"237",244,"grizzly bear","yellow house",9365,8.7,"mark richardson","executive editor",2006-09-06,2,2006
"238",245,"grouper","the man who died in his boat",17571,8.3,"mark richardson","executive editor",2013-02-01,4,2013
"239",246,"grouper","ruins",19820,8.8,"philip sherburne","contributing editor",2014-10-28,1,2014
"240",247,"haim","days are gone",18574,8.3,"larry fitzmaurice","contributor",2013-09-30,0,2013
"241",248,"hamilton leithauser, rostam","i had a dream that you were mine",22313,8.3,"jillian mapes","senior editor",2016-09-23,4,2016
"242",249,"harvey milk","life...the best game in town",12005,8.6,"grayson currin","contributor",2008-07-17,3,2008
"243",250,"herbert","scale",9072,8.8,"jess harvell","contributor",2006-06-02,4,2006
"244",251,"hercules and love affair","hercules and love affair",11269,9.1,"philip sherburne","contributing editor",2008-03-12,2,2008
"245",252,"high places","03/07  09/07",11150,8.3,"mike powell",NA,2008-02-14,3,2008
"246",253,"holly herndon","platform",20457,8.7,"winston cook-wilson","contributor",2015-05-21,3,2015
"247",254,"hot chip","one life stand",13908,8.4,"scott plagenhoef","contributor",2010-02-08,0,2010
"248",255,"how to dress well","love remains",14678,8.7,"mark richardson","executive editor",2010-09-24,4,2010
"249",256,"how to dress well","total loss",17046,8.4,"ian cohen","contributor",2012-09-20,3,2012
"250",257,"how to dress well","""what is this heart?""",19433,8.8,"ian cohen","contributor",2014-06-23,0,2014
"251",258,"hundred waters","the moon rang like a bell",19311,8.3,"mark richardson","executive editor",2014-05-29,3,2014
"252",259,"i'm from barcelona","let me introduce my friends",9294,8.4,"marc hogan","senior staff writer",2006-08-09,2,2006
"253",260,"iceage","new brigade",15576,8.4,"david bevan","contributor",2011-06-29,2,2011
"254",261,"iceage","you're nothing",17623,8.6,"brandon stosuy","contributor",2013-02-18,0,2013
"255",262,"iceage","plowing into the field of love",19806,8.5,"larry fitzmaurice","contributor",2014-10-09,3,2014
"256",263,"interpol","antics",4116,8.5,"david moore","contributor",2004-09-26,6,2004
"257",264,"iron & wine","the shepherd's dog",10691,8.6,"joe tangari","contributor",2007-09-25,1,2007
"258",265,"iron & wine","our endless numbered days",4127,8.6,"amanda petrusich","contributor",2004-03-28,6,2004
"259",266,"isis","wavering radiant",13009,8.5,"roque strew",NA,2009-05-14,3,2009
"260",267,"islands","return to the sea",4170,8.4,"john motley",NA,2006-04-05,2,2006
"261",268,"isole","we are monster",4164,8.4,"nick sylvester","contributor",2005-06-14,1,2005
"262",269,"james blake","cmyk",14229,8.3,"mike powell","contributor",2010-05-24,0,2010
"263",270,"james blake","james blake",15081,9,"grayson currin","contributor",2011-02-09,2,2011
"264",271,"james blake","the colour in anything",21906,8.2,"kevin lozano","tracks coordinator",2016-05-10,1,2016
"265",272,"jamie xx","in colour",20458,9.3,"mark richardson","executive editor",2015-06-01,0,2015
"266",273,"jamila woods","heavn",22156,8.4,"kris ex","contributor",2016-07-21,3,2016
"267",274,"janelle mone","the archandroid",14271,8.5,"matthew perpetua",NA,2010-05-20,3,2010
"268",275,"janelle mone","the electric lady",18470,8.3,"jayson greene","senior editor",2013-09-10,1,2013
"269",276,"japandroids","post-nothing",12965,8.3,"ian cohen","contributor",2009-04-27,0,2009
"270",277,"japandroids","celebration rock",16564,8.8,"ian cohen","contributor",2012-05-29,1,2012
"271",279,"jay-z","american gangster",10879,8.6,"tom breihan","contributor",2007-11-08,3,2007
"272",280,"jay-z","the black album",4219,8,"the pitchfork staff",NA,2003-11-16,6,2003
"273",281,"jenny hval","blood bitch",22314,8.3,"jenn pelly","associate reviews editor",2016-10-04,1,2016
"274",282,"jens lekman","night falls over kortedala",10620,9,"marc hogan","senior staff writer",2007-09-05,2,2007
"275",284,"jeremih","late nights: the album",21340,8.3,"meaghan garvey","contributor",2015-12-09,2,2015
"276",285,"jessie ware","devotion",16938,8.5,"ryan dombal","senior editor",2012-08-17,4,2012
"277",287,"jj","jj n 2",13326,8.6,"marc hogan","senior staff writer",2009-07-17,4,2009
"278",288,"jlin","dark energy",20450,8.5,"anupa mistry","contributor",2015-04-02,3,2015
"279",293,"joey purp","iiidrops",21913,8.2,"kris ex","contributor",2016-06-03,4,2016
"280",294,"johann johannsson","englabrn",4274,8.9,"andy beta","contributor",2003-03-05,2,2002
"281",295,"johann johannsson","virulegu forsetar",4275,8.8,"mark richardson","executive editor",2004-11-23,1,2004
"282",296,"john maus","we must become the pitiless censors of ourselves",15596,8.4,"david bevan","contributor",2011-07-08,4,2011
"283",297,"john talabot","in",16249,8.5,"philip sherburne","contributing editor",2012-02-07,1,2012
"284",298,"jon hopkins","immunity",18090,8.5,"brian howe","contributor",2013-06-06,3,2013
